undergraduate_gpa,self_reported_gpa,first_review_exp,first_review_sop,first_review_gpa,first_review_lor,second_review_exp,second_review_sop,second_review_gpa,distance_to_campus,program_length,response,academic_condition,age,90041_mi,91601_mi,92122_mi,94607_mi,last_60_90_gpa,graduate_gpa,second_review_lor,sip_score,time_to_finish_application,decision_wait_time,response_time,billing_country_United States,billing_country_blank,ethnicity_Arab/Middle Eastern,ethnicity_Asian/Pacific Islander,ethnicity_Caucasian,ethnicity_Latino/a,ethnicity_Multi-Ethnic,ethnicity_Native American,ethnicity_Unknown,ethnicity_blank,gender_Female,gender_Other,gender_blank,first_generation_Yes,first_generation_blank,campus___cleaned_Orange County Academic Center,campus___cleaned_San Diego Academic Center,campus___cleaned_University Park Campus,campus___cleaned_Virtual Academic Center,campus___cleaned_blank,residency_International,residency_Non Resident,residency_Other,residency_Permanent US Resident,residency_Temporary US Resident,residency_US Citizen,residency_blank,deposit_received_True,temperature_Cold,temperature_Hot,temperature_No Contact,temperature_Warm
2.41,3.21,5,5.0,5.0,4.0,3,4.0,4,26.50977085,4.0,1,1,33,20.028330899999997,29.76546251,96.67872961,355.1714467,2.88,3.67,3.0,0,0.0,65.0,17.0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2.78,3.21,5,5.0,3.0,5.0,3,4.0,4,6.09128228,4.0,0,1,56,14.55502159,11.80150324,104.4667412,342.78267180000006,3.2,3.43,3.0,0,45.0,40.0,105.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2.81,3.21,5,5.0,3.0,5.0,3,4.0,4,88.14221193,4.0,0,1,29,89.97205657,98.14572706,20.80076692,432.2530926,3.02,3.67,3.0,0,0.0,84.0,12.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.86,3.21,5,5.0,3.0,5.0,3,4.0,4,35.32297562,6.0,1,1,34,39.46691428,29.76546251,132.00487520000001,317.2047285,3.52,3.53,3.0,0,42.0,32.0,1.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2.9,3.21,3,4.0,4.0,4.0,3,4.0,4,6.336831072000001,4.0,1,1,34,13.36920941,9.144675422,106.9278315,340.26636,3.8,3.88,3.0,0,0.0,1.0,24.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2.93,3.21,4,5.0,3.0,5.0,3,4.0,4,34.87153697,6.0,1,1,29,36.8432599,44.76952219,68.78772948,379.0262811,3.43,3.67,3.0,0,0.0,26.0,4.0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2.94,3.21,5,4.0,4.0,4.0,3,4.0,4,30.91832461,4.0,1,1,30,35.05066157,41.46748792,71.49386746,375.65655499999997,2.98,3.67,3.0,0,66.0,16.0,13.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.0,3.21,5,5.0,4.0,4.0,3,4.0,4,33.95401077,6.0,1,0,30,28.90551335,38.82732225,89.08449059,364.57979700000004,2.88,3.67,3.0,0,27.0,45.0,13.0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.0,3.21,3,5.0,4.0,5.0,3,4.0,4,5.736859383,4.0,1,0,31,10.57291727,6.2183993829999995,107.95093500000002,339.1994163,2.88,3.67,3.0,0,0.0,77.0,4.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.01,3.21,5,4.0,4.0,5.0,3,4.0,4,13.53306028,4.0,1,0,34,7.0017076110000005,16.94100998,100.7504486,347.8441842,2.88,3.67,3.0,0,14.0,99.0,12.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
